Method component,Paper A,Paper B,Paper C,This study
Main framework,,,,
Mathematical model,,,,
Encoding,,,,
Decoding,,,,
Initialization,,,,
Construction rule,,,,
Destruction / reconstruction,,,,
Neighborhood,,,,
Local search,,,,
Repair mechanism,,,,
Constraint handling,,,,
Acceptance rule,,,,
Parameter tuning,,,,
Stopping criterion,,,,
Objective evaluation,,,,
Benchmark instances,,,,
Compared baselines,,,,
Strength,,,,
Weakness,,,,
Reusable idea,,,,
Baseline role,,,,
